
[1/4] Loading dataset …
Processing...
  Category filter: ['Bench_vice', 'C_Clamps', 'Pipe_vice', 'Gate_Valve', 'Press_Tool', 'Tool_Post', 'Crane_hook']
  749 STEP files after category filter
  Found 749 STEP file(s) in /Users/mbp/Documents/MTECH/Sem4/Individual_project/AI_Assisted_3D_Assembly_Design/AI-Assisted-3D-Assembly-Design/Source_3d_models/Best_models_for_training
  [274/749] [CACHED] Crane_Hook_52/Crane_Hook_52.stp — 137 nodes
  [275/749] [CACHED] Crane_Hook_53/Crane_Hook_53.STEP — 86 nodes
  [276/749] [CACHED] Crane_Hook_54/Crane_Hook_54.stp — 88 nodes
  [277/749] [CACHED] Crane_Hook_55/Crane_Hook_55.STEP — 62 nodes
  [278/749] [CACHED] Crane_Hook_56/Crane_Hook_56.stp — 137 nodes
  [279/749] [CACHED] Crane_Hook_57/Crane_Hook_57.step — 86 nodes
  [280/749] [CACHED] Crane_Hook_58/Crane_Hook_58.stp — 121 nodes
  [281/749] [CACHED] Crane_Hook_59/Crane_Hook_59.stp — 121 nodes
  [282/749] [CACHED] Crane_Hook_60/Crane_Hook_60.STEP — 44 nodes
  [283/749] [CACHED] Crane_Hook_61/Crane_Hook_61.STEP — 92 nodes
  [284/749] [CACHED] Crane_Hook_62/Crane_Hook_62.STEP — 15 nodes
  [285/749] [CACHED] Crane_Hook_63/Crane_Hook_63.step — 24 nodes
  [286/749] [CACHED] Crane_Hook_64/Crane_Hook_64.stp — 270 nodes
  [287/749] [CACHED] Crane_Hook_65/Crane_Hook_65.stp — 270 nodes
  [288/749] [CACHED] Crane_Hook_66/Crane_Hook_66.step — 28 nodes
  [289/749] [CACHED] Crane_Hook_67/Crane_Hook_67.step — 28 nodes
  [290/749] [CACHED] Crane_Hook_68/Crane_Hook_68.stp — 74 nodes
  [291/749] [CACHED] Crane_Hook_69/Crane_Hook_69.stp — 19 nodes
  [292/749] [CACHED] Crane_Hook_70/Crane_Hook_70.stp — 137 nodes
  [293/749] [CACHED] Crane_Hook_71/Crane_Hook_71.stp — 40 nodes
  [294/749] [CACHED] Crane_Hook_72/Crane_Hook_72.STEP — 86 nodes
  [295/749] [CACHED] Crane_Hook_73/Crane_Hook_73.stp — 88 nodes
  [296/749] [CACHED] Crane_Hook_74/Crane_Hook_74.STEP — 62 nodes
  [297/749] [SKIPPED] Crane_Hook_75/Crane_Hook_75.STEP (CACHED_ONLY=1, no cache entry)
  [298/749] [CACHED] Crane_Hook_76/Crane_Hook_76.step — 24 nodes
  [299/749] [CACHED] Crane_Hook_77/Crane_Hook_77.stp — 72 nodes
  [300/749] [CACHED] Crane_Hook_78/Crane_Hook_78.stp — 72 nodes
  [301/749] [CACHED] Crane_Hook_79/Crane_Hook_79.stp — 137 nodes
  [302/749] [CACHED] Crane_Hook_80/Crane_Hook_80.stp — 137 nodes
  [303/749] [CACHED] Crane_Hook_81/Crane_Hook_81.STEP — 86 nodes
  [304/749] [CACHED] Crane_Hook_82/Crane_Hook_82.stp — 88 nodes
  [305/749] [CACHED] Crane_Hook_83/Crane_Hook_83.STEP — 62 nodes
